order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
1683909,54,prior,55,3,11,18
692802,54,prior,56,4,9,1
3137144,54,prior,57,6,17,2
1967453,54,prior,58,6,21,7
899785,54,prior,59,4,8,5
3370941,54,prior,60,6,23,2
1433019,54,prior,61,3,12,4
910390,54,prior,62,2,10,6
2340803,54,prior,63,4,8,2
2101107,54,prior,64,1,13,4
1000935,54,prior,65,4,11,10
100777,54,prior,66,4,11,7
3147262,54,prior,67,4,13,0
496907,54,prior,68,1,11,4
1107137,54,prior,69,5,15,4
1743688,54,prior,70,1,15,3
1404810,54,prior,71,4,10,3
865967,54,prior,72,1,13,4
1456703,54,prior,73,2,23,1
3161832,54,prior,74,4,13,2
75972,54,prior,75,6,12,2
2004727,54,prior,76,0,10,8
596690,54,prior,77,1,11,1
1325316,54,test,78,2,23,1
2080943,55,prior,1,0,14,
2006658,55,prior,2,2,17,9
3057843,55,prior,3,2,7,28
3114269,55,prior,4,1,13,13
2986671,55,prior,5,2,15,15
1677021,55,prior,6,2,13,28
2206148,55,prior,7,1,13,13
39325,55,train,8,2,18,30
2654273,56,prior,1,1,17,
807593,56,prior,2,1,8,7
2511442,56,prior,3,4,18,3
1909697,56,prior,4,1,11,4
1507154,56,prior,5,0,9,6
1271686,56,prior,6,1,18,8
976101,56,prior,7,2,11,8
758679,56,prior,8,0,16,5
1221340,56,prior,9,1,8,8
1327957,56,prior,10,2,10,8
2139271,56,prior,11,1,8,13
1836190,56,prior,12,2,9,8
13318,56,train,13,1,9,6
1381572,57,prior,1,6,10,
1435093,57,prior,2,4,11,5
1456958,57,prior,3,3,17,6
48293,57,prior,4,5,7,9
2047997,57,prior,5,5,15,7
1623693,57,prior,6,4,21,13
435581,57,prior,7,2,10,12
463436,57,prior,8,4,1,9
1545777,57,prior,9,3,22,6
2380545,57,prior,10,6,6,10
839442,57,prior,11,2,7,3
949025,57,prior,12,6,11,4
1775331,57,prior,13,3,10,11
2676852,57,prior,14,6,5,10
320326,57,test,15,0,7,8
913794,58,prior,1,4,14,
692224,58,prior,2,0,10,3
714002,58,prior,3,6,15,13
1578027,58,prior,4,0,17,1
164627,58,prior,5,0,7,7
3097573,58,prior,6,4,18,4
1089058,58,prior,7,0,9,3
326173,58,prior,8,2,10,9
1867561,58,prior,9,3,10,15
2143792,58,prior,10,3,11,7
139882,58,prior,11,5,9,9
2830335,58,prior,12,0,13,16
2023100,58,prior,13,0,12,7
2144995,58,prior,14,5,12,30
1976929,58,prior,15,4,21,6
2128599,58,test,16,4,12,7
584586,59,prior,1,5,15,
1385031,59,prior,2,1,10,24
2149689,59,prior,3,0,10,6
3050891,59,prior,4,2,12,2
2395967,59,prior,5,3,9,15
1071381,59,prior,6,2,10,20
2756878,59,prior,7,2,11,14
2994801,59,prior,8,3,11,29
1794276,59,prior,9,0,21,30
1625716,59,prior,10,4,8,11
1651215,59,train,11,0,12,10
2769226,60,prior,1,0,20,
1205618,60,prior,2,5,14,26
291527,60,prior,3,2,13,11
1783260,60,prior,4,2,11,28
3224056,60,prior,5,5,15,24
989260,60,prior,6,2,14,25
2132947,60,prior,7,5,18,30
1597833,60,prior,8,1,11,30
1099519,60,test,9,4,22,30
817409,61,prior,1,2,11,
1839867,61,prior,2,5,10,30
3160844,61,prior,3,5,15,14
1713067,61,prior,4,1,9,30
144494,61,test,5,4,10,17
2887267,62,prior,1,1,0,
964058,62,prior,2,4,10,10
2163945,62,prior,3,6,11,30
3349827,62,prior,4,0,13,15
1376443,62,prior,5,4,20,4
2655621,62,prior,6,4,14,14
1275664,62,prior,7,1,14,18
1812321,62,prior,8,4,13,30
2512030,62,prior,9,4,14,14
479208,62,prior,10,1,12,4
1019719,62,train,11,2,12,29
2205298,63,prior,1,3,20,
2568280,63,prior,2,0,9,11
1763414,63,prior,3,4,14,11
3092533,63,prior,4,0,11,24
414538,63,prior,5,1,10,8
1538989,63,prior,6,6,14,12
3077044,63,prior,7,1,14,9
2644515,63,prior,8,2,19,15
495013,63,prior,9,0,10,26
973757,63,prior,10,2,14,2
1225619,63,prior,11,0,7,5
863243,63,prior,12,6,13,6
226861,63,prior,13,6,14,7
107377,63,prior,14,6,8,7
2286777,63,prior,15,5,12,6
390867,63,prior,16,3,15,5
3140578,63,prior,17,1,11,19
561303,63,prior,18,5,12,4
1023723,63,prior,19,3,16,5
2104282,63,prior,20,3,14,7
2838026,63,prior,21,5,9,2
1764004,63,prior,22,3,14,5
3028801,63,prior,23,3,12,7
2793873,63,prior,24,6,13,3
2158097,63,prior,25,0,5,8
1580628,63,prior,26,5,17,5
383458,63,prior,27,2,11,11
97480,63,prior,28,4,8,9
3301134,63,prior,29,1,18,11
2352518,63,prior,30,5,12,4
1128333,63,prior,31,2,17,4
1023454,63,prior,32,1,13,6
586227,63,prior,33,3,12,9
77449,63,prior,34,1,12,12
1816750,63,prior,35,1,12,14
2190355,63,prior,36,1,12,14
2617055,63,prior,37,6,9,12
1223316,63,prior,38,1,14,9
443742,63,prior,39,0,11,13
2989905,63,train,40,6,8,13
802141,64,prior,1,2,14,
2601258,64,prior,2,6,10,11
2057180,64,prior,3,1,22,2
2507322,64,prior,4,6,17,12
33681,64,prior,5,5,0,6
629726,64,prior,6,3,20,19
2302602,64,prior,7,5,20,9
3215917,64,prior,8,6,17,15
2754807,64,prior,9,6,15,7
3129760,64,prior,10,1,10,9
